अंकल	uncle
रनवे	runway
रवि	ravi
रस	ras
रह	rah
रहना	rahana
राक्षस	rakshas
रागिनी	ragini
राजकाज	rajkaj
राजस्थान	rajasthan
राजस्थानी	rajasthani
राजा	raja
राजीव	rajiv
राजू	raju
राजेंद्र	rajendra
राजेश	rajesh
राज्यमंत्री	rajyamantri
रात	raat
रात्रि	ratri
राधा	radha
राधास्वामी	radhaswami
रानी	rani
राम	ram
रामचंद्र	ramchandra
रामदेव	ramdev
रामलीला	ramleela
रामा	rama
रावत	rawat
राष्ट्रनिर्माण	rashtranirman
राष्ट्रभाषा	rashtrabhasha
रास्ता	rasta
राहत	rahat
राहुल	rahul
रिंगटोन	ringtone
रिपोर्ट	report
रिपोर्टर	reporter
रियल	real
रिसर्च	research
रुद्र	rudra
रुद्राक्ष	rudraksh
रूप	roop
रूपरेखा	ruprekha
रेखा	rekha
रेल	rail
रेलवे	railway
रेसिपी	recipe
रैली	rally
रोग	rog
रोजगार	rojgar
रोटी	roti
रोड	road
रोपवे	ropeway
रोमांस	romance
रोल	roll
रोशन	roshan
रोहिणी	rohini
रोहित	rohit
लक्षण	lakshan
लक्ष्मण	lakshman
लक्ष्मी	lakshmi
लक्ष्मीबाई	lakshmibai
लगातार	lagatar
लगाती	lagati
लगाने	lagane
लगाया	lagaya
लगी	lagi
लगेंगे	lagenge
लड़ाकू	ladaku
लड्डू	laddu
लपेट	lapet
लव	love
लहूलुहान	lahuluhan
लाइक	like
लाइट	light
लाइन	line
लाख	lakh
लाफ	laugh
लाभ	labh
लाल	lal
लालू	lalu
लावा	lava
लिंग	ling
लिए	liye
लिखी	likhi
लिस्ट	list
ली	lee
लुकाछिपी	lukachipi
लूटपाट	lootpaat
ले	le
लेकर	lekar
लेख	lekh
लेखक	lekhak
लेखन	lekhan
लेडी	lady
लेना	lena
लैंड	land
लैंडिंग	landing
लैला	laila
लॉन्ग	long
लो	lo
लोक	lok
लोकगीत	lokgeet
लोकतंत्र	loktantra
लोकलुभावन	loklubhavan
लोकसभा	loksabha
लोड	load
लोधी	lodhi
लोन	loan
लोहा	loha
वंशावली	vanshavali
वक्त	waqt
वजीर	wazir
वनडे	oneday
वर	var
वरिष्ठ	varishth
वरुण	varun
वर्क	work
वर्कशॉप	workshop
वर्क्स	works
वर्ग	varg
वर्चुअल	virtual
वर्जिन	virgin
वर्ड	word
वर्णन	varnan
वर्णमाला	varnmala
वर्तक	vartak
वर्धक	vardhak
वर्ल्ड	world
वर्ष	varsh
वस्तु	vastu
वस्तुनिष्ठ	vastunishth
वह	vah
वाईफाई	wifi
वादविवाद	vadvivad
वायरल	viral
वाराणसी	varanasi
वार्ड	ward
वार्मअप	warmup
वाली	wali
वाले	wale
वालो	walo
वालों	walon
वास	vaas
वासुदेव	vasudev
विकास	vikas
विकेटकीपर	wicketkeeper
विजय	vijay
विटामिन	vitamin
विदर्भ	vidarbh
विदेश	videsh
विद्यार्थी	vidyarthi
विधि	vidhi
विधिविधान	vidhividhaan
विनायक	vinayak
विनोद	vinod
विपक्ष	vipaksh
विमल	vimal
विराट	virat
विल	will
विवाद	vivad
विवाह	vivah
विशाल	vishal
विशिष्ट	vishisht
विशेष	vishesh
विश्वकल्याण	vishwakalyan
वीडियो	video
वीरेंद्र	virendra
वृंदावन	vrindavan
वेंकटेश	venkatesh
वेब	web
वेबसाइट	website
वेल	well
वेलफेयर	welfare
वेलेंटाइन	valentine
वेलेस	veles
वेव	wave
वेशभूषा	veshbhusha
वेस्टर्न	western
वैगन	wagon
वैट	vat
वैलेंटाइन	valentine
वैल्यू	value
वॉर	war
वॉल	wall
वो	vo
वोदका	vodka
वोन	von
वोल्ट	volt
व्यंग्य	vyangya
व्यंजन	vyanjan
व्यक्ति	vyakti
व्यक्तियों	vyaktiyon
व्यवस्था	vyavastha
व्यस्त	vyast
व्याख्या	vyakhya
व्याप्त	vyapt
व्यास	vyas
व्रत	vrat
व्लादीमीर	vladimir
व्हाट	what
व्हाट्सएप	whatsapp
व्हीकल	vehicle
व्हील	wheel
व्हेन	when
व्हेल	whale
शंकर	shankar
शंख	shankh
शक्ति	shakti
शतक	shatak
शताब्दी	shatabdi
शत्रु	shatru
शनि	shani
शब्द	shabd
शब्दों	shabdon
शब्बीर	shabbir
शमशाबाद	shamshabad
शमशेर	shamsher
शरद	sharad
शर्ट	shirt
शर्त	shart
शव	shav
शांति	shanti
शाखा	shakha
शाम	sham
शायर	shayar
शायरी	shayari
शालिनी	shalini
शाली	shali
शालू	shalu
शास्त्र	shastra
शास्त्री	shastri
शास्त्रीय	shastriya
शास्त्रों	shastron
शिकंजा	shikanja
शिकंजे	shikanje
शिकायत	shikayat
शिक्षक	shikshak
शिक्षण	shikshan
शिक्षा	shiksha
शिमला	shimla
शिरडी	shirdi
शिरोमणि	shiromani
शिला	shila
शिव	shiv
शिवभक्त	shivbhakt
शुदा	shuda
शुद्धि	shuddhi
शुद्धिकरण	shuddhikaran
शुद्र	shudra
शुभ	shubh
शेक	shake
शेर	sher
शैक्षिक	shaikshik
शॉप	shop
शॉपिंग	shopping
शो	show
शोध	shodh
शोर	shor
शोरगुल	shorgul
शोले	sholay
शोषण	shoshan
श्याम	shyam
श्री	shri
श्रुति	shruti
श्रृंग	shring
श्रृंगार	shringar
श्रेष्ठ	shreshth
श्रॉफ	shroff
श्लोक	shlok
संकल्प	sankalp
संकेत	sanket
संकेतों	sanketon
संख्या	sankhya
संग	sang
संगठन	sangathan
संगम	sangam
संगीत	sangeet
संगीता	sangeeta
संघ	sangh
संघर्ष	sangharsh
संजीव	sanjeev
संजीवनी	sanjivani
संज्ञा	sangya
संदेश	sandesh
संध्या	sandhya
संपर्क	sampark
संभव	sambhav
संभोग	sambhog
संरक्षण	sanrakshan
संवर्धन	sanvardhan
संसार	sansar
संस्कृति	sanskriti
संस्था	sanstha
संस्थान	sansthan
सऊदी	saudi
सक	sak
सकेंगे	sakenge
सकेगा	sakega
सक्षम	saksham
सच	sach
सचिन	sachin
सत्व	satva
सदा	sada
सन	sun
सन्डे	sunday
सन्यासी	sanyasi
सफेद	safed
सबवे	subway
सबसे	sabse
सब्सिडी	subsidy
सम	sam
समक्ष	samaksh
समर्थ	samarth
समा	sama
समाचार	samachar
समाजशास्त्र	samajshastra
समानार्थक	samanarthak
समास	samas
समीक्षा	samiksha
समीर	sameer
सर	sir
सरपंच	sarpanch
सर्च	search
सर्प	sarp
सर्वे	survey
सलमान	salman
सलाद	salad
सहनिर्माता	sahnirmata
सहेली	saheli
सांसदों	sansadon
सांसारिक	sansarik
साइंटिस्ट्स	scientists
साइंस	science
साइकिल	cycle
साइक्लिंग	cycling
साइज	size
साइट	site
साइड	side
साइन	sign
साइबर	cyber
साउंड	sound
साउथ	south
साक्षरता	saksharta
साक्षात्कार	sakshatkar
साक्षी	sakshi
सागर	sagar
सात	saat
साथ	saath
साथी	sathi
साफ	saaf
सामवेद	samved
सार्थक	sarthak
साल	saal
सालाना	salana
साले	sale
सास	saas
साहेब	saheb
सिक्ख	sikh
सिद्ध	siddh
सिद्धांत	siddhant
सिद्धि	siddhi
सिनेमा	cinema
सिन्हा	sinha
सिफारिश	sifarish
सिरदर्द	sirdard
सिरमौर	sirmaur
सिरीज	series
सिरोही	sirohi
सिलसिला	silsila
सिलिंडर	cylinder
सिलेब्रिटी	celebrity
सिल्क	silk
सिस्टम	system
सीआई	ci
सीआईडी	cid
सीआरपी	crp
सीईओ	ceo
सीडी	cd
सीमा	seema
सुखा	sukha
सुदर्शन	sudarshan
सुपरमार्केट	supermarket
सुप्रीम	supreme
सुरंग	surang
सुरक्षा	suraksha
सुरिंदर	surinder
सुरेंद्र	surendra
सुरेश	suresh
सुल्तानपुर	sultanpur
सुविधा	suvidha
सुविधाएं	suvidhaen
सुविधाओं	suvidhaon
सूक्त	sukt
सूत्र	sutra
सूरत	surat
सूर्य	surya
सूर्यकांत	suryakant
सूर्यवंशी	suryavanshi
सूर्या	surya
सेकंड	second
सेक्स	sex
सेक्सी	sexy
सेटअप	setup
सेटेलाइट	satellite
सेना	sena
सेमीफाइनल	semifinal
सेर	ser
सेरेना	serena
सेरेमिक	ceramic
सेल	sale
सेल्सियस	celsius
सेवा	seva
सेवाएं	sevaen
सैंडविच	sandwich
सैटेलाइट	satellite
सैफ	saif
सैमसंग	samsung
सॉफ्टवेयर	software
सो	so
सोन	son
सोनम	sonam
सोना	sona
सोनाक्षी	sonakshi
सोनाली	sonali
सोनिया	sonia
सोनी	sony
सोने	sone
सोमवार	somwar
सोलंकी	solanki
सौंदर्य	saundarya
सौरव	saurav
स्कंध	skandh
स्कूल	school
स्कूलों	schoolon
स्कोर	score
स्टिंग	sting
स्टेटस	status
स्टेडियम	stadium
स्टेशन	station
स्टैंड	stand
स्टैंडर्ड	standard
स्टैमिना	stamina
स्टोरी	story
स्टोरेज	storage
स्ट्रॉबेरी	strawberry
स्त्री	stri
स्त्रीलिंग	striling
स्थल	sthal
स्थली	sthali
स्थानांतरण	sthanantaran
स्नेह	sneh
स्नेही	snehi
स्पर्म	sperm
स्पर्श	sparsh
स्पेनिश	spanish
स्पेशल	special
स्पेस	space
स्मार्ट	smart
स्मार्टफोन	smartphone
स्मृति	smriti
स्वतंत्रता	swatantrata
स्वयं	swayam
स्वर्ग	swarg
स्वर्ण	swarn
हंटर	hunter
हंस	hans
हंसती	hansti
हंसने	hansne
हंसराज	hansraj
हंसी	hansi
हक	hak
हड्डी	haddi
हत्या	hatya
हनुमान	hanuman
हमारे	hamare
हराया	haraya
हरिद्वार	haridwar
हरिशचंद्र	harishchandra
हर्बल	herbal
हवा	hawa
हवेली	haveli
हस्तमैथुन	hastmaithun
हाईवे	highway
हाईस्कूल	highschool
हाईस्पीड	highspeed
हाजीपुर	hajipur
हाथ	haath
हार्ट	heart
हावभाव	havbhav
हिंदी	hindi
हिंदुओं	hinduon
हिरण्यकशिपु	hiranyakashipu
हिस्से	hisse
हीरो	hero
हीरोपंती	heropanti
हुई	hui
हुए	hue
हुदहुद	hudhud
हेमा	hema
हेलो	hello
है	hai
हैं	hain
हैंड	hand
हैंडल	handle
हैदर	haider
हैप्पी	happy
हैशटैग	hashtag
हॉकी	hockey
हॉट	hot
हॉलीवुड	hollywood
हॉस्पिटल	hospital
हो	ho
होगा	hoga
होटल	hotel
होते	hote
होना	hona
होनी	honi
होने	hone
होम	home
होम्योपैथी	homeopathy
होश	hosh
होस्टिंग	hosting
